No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,TCP Flags,Sequence Number,Acknowledgment Number,Window Size,Payload Length,TSval,TSecr,NodeWeight,EdgeWeight,Classification
1,0.0,172.28.94.58,75.65.54.216,TCP,66,49382.0,80.0,ACK,1.0,1.0,69.0,0.0,6561413.0,25591731.0,22,22,Internal
3,0.000373,75.65.54.216,172.28.94.58,TCP,1514,80.0,49382.0,ACK,1449.0,1.0,46.0,1448.0,25591731.0,6561413.0,21,21,External
23,0.001538,172.28.94.58,75.65.54.216,HTTP,115,,,,,,,,,,22,22,Internal
24,0.001665,172.28.161.112,78.183.19.228,TCP,74,36307.0,80.0,SYN,0.0,,5840.0,0.0,6561413.0,0.0,25,25,Internal
26,0.001866,78.183.19.228,172.28.161.112,TCP,74,,,,0.0,1.0,5792.0,0.0,25591731.0,6561413.0,25,25,External
28,0.001934,172.28.161.112,78.183.19.228,HTTP,95,,,,,,,,,,25,25,Internal
45,0.002574,75.65.54.216,172.28.94.58,HTTP,293,,,,,,,,,,21,21,External
77,0.003817,151.140.190.196,172.28.58.87,TCP,1514,80.0,48524.0,ACK,1.0,1.0,46.0,1448.0,25591731.0,6561411.0,76,76,External
82,0.003925,172.28.58.87,151.140.190.196,TCP,66,48524.0,80.0,ACK,1.0,1449.0,69.0,0.0,6561413.0,25591731.0,46,46,Internal
90,0.00397,78.183.19.228,172.28.161.112,HTTP,561,,,,,,,,,,25,25,External
122,0.005253,172.28.181.73,131.60.191.153,TCP,74,36070.0,80.0,SYN,0.0,,5840.0,0.0,6561413.0,0.0,35,35,Internal
146,0.005497,131.60.191.153,172.28.181.73,TCP,74,,,,0.0,1.0,5792.0,0.0,25591732.0,6561413.0,44,44,External
147,0.005516,172.28.10.6,192.168.121.50,DNS,91,,,,,,,,,,586,586,Internal
152,0.005592,172.28.181.73,131.60.191.153,HTTP,94,,,,,,,,,,35,35,Internal
192,0.006127,192.168.121.50,172.28.10.6,DNS,175,,,,,,,,,,586,586,External
215,0.006473,151.140.190.196,172.28.58.87,HTTP,679,,,,,,,,,,76,76,External
223,0.012427,44.144.78.237,172.28.172.226,TCP,1514,80.0,59419.0,ACK,1.0,1.0,46.0,1448.0,25591732.0,6561412.0,153,153,External
225,0.01253,172.28.172.226,44.144.78.237,TCP,66,59419.0,80.0,ACK,1.0,1449.0,69.0,0.0,6561414.0,25591732.0,111,111,Internal
