No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,TCP Flags,Sequence Number,Acknowledgment Number,Window Size,Payload Length,TSval,TSecr,Weight
1,0.0,172.28.94.58,75.65.54.216,TCP,66,49382.0,80.0,ACK,1.0,1.0,69.0,0.0,6561413.0,25591731.0,22
3,0.000373,75.65.54.216,172.28.94.58,TCP,1514,80.0,49382.0,ACK,1449.0,1.0,46.0,1448.0,25591731.0,6561413.0,21
23,0.001538,172.28.94.58,75.65.54.216,HTTP,115,,,,,,,,,,22
24,0.001665,172.28.161.112,78.183.19.228,TCP,74,36307.0,80.0,SYN,0.0,,5840.0,0.0,6561413.0,0.0,25
28,0.001934,172.28.161.112,78.183.19.228,HTTP,95,,,,,,,,,,25
45,0.002574,75.65.54.216,172.28.94.58,HTTP,293,,,,,,,,,,21
77,0.003817,151.140.190.196,172.28.58.87,TCP,1514,80.0,48524.0,ACK,1.0,1.0,46.0,1448.0,25591731.0,6561411.0,76
82,0.003925,172.28.58.87,151.140.190.196,TCP,66,48524.0,80.0,ACK,1.0,1449.0,69.0,0.0,6561413.0,25591731.0,46
122,0.005253,172.28.181.73,131.60.191.153,TCP,74,36070.0,80.0,SYN,0.0,,5840.0,0.0,6561413.0,0.0,3
146,0.005497,131.60.191.153,172.28.181.73,TCP,74,,,,0.0,1.0,5792.0,0.0,25591732.0,6561413.0,2
147,0.005516,172.28.10.6,192.168.121.50,DNS,91,,,,,,,,,,1
152,0.005592,172.28.181.73,131.60.191.153,HTTP,94,,,,,,,,,,3
192,0.006127,192.168.121.50,172.28.10.6,DNS,175,,,,,,,,,,1
215,0.006473,151.140.190.196,172.28.58.87,HTTP,679,,,,,,,,,,76
223,0.012427,44.144.78.237,172.28.172.226,TCP,1514,80.0,59419.0,ACK,1.0,1.0,46.0,1448.0,25591732.0,6561412.0,2
225,0.01253,172.28.172.226,44.144.78.237,TCP,66,59419.0,80.0,ACK,1.0,1449.0,69.0,0.0,6561414.0,25591732.0,1
