No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,TCP Flags,Sequence Number,Acknowledgment Number,Window Size,Payload Length,TSval,TSecr,Weight
2776,0.063628,172.28.81.112,84.89.48.89,TCP,74,60679.0,80.0,SYN,0.0,,5840.0,0.0,6561419.0,0.0,5
2779,0.063898,172.28.81.112,84.89.48.89,HTTP,94,,,,,,,,,,5
3139,0.087386,172.28.229.147,54.199.172.152,TCP,74,35761.0,80.0,SYN,0.0,,5840.0,0.0,6561421.0,0.0,5
3142,0.087651,172.28.229.147,54.199.172.152,HTTP,94,,,,,,,,,,5
3732,0.12507,172.28.145.21,189.15.86.68,TCP,74,48055.0,80.0,SYN,0.0,,5840.0,0.0,6561425.0,0.0,10
3734,0.125271,189.15.86.68,172.28.145.21,TCP,74,,,,0.0,1.0,5792.0,0.0,25591743.0,6561425.0,10
3736,0.125343,172.28.145.21,189.15.86.68,HTTP,94,,,,,,,,,,10
3748,0.126366,189.15.86.68,172.28.145.21,HTTP,1473,,,,,,,,,,10
3756,0.137278,172.28.229.40,202.15.13.87,TCP,74,49623.0,80.0,SYN,0.0,,5840.0,0.0,6561426.0,0.0,10
3758,0.137496,202.15.13.87,172.28.229.40,TCP,74,,,,0.0,1.0,5792.0,0.0,25591745.0,6561426.0,10
3760,0.137593,172.28.229.40,202.15.13.87,HTTP,94,,,,,,,,,,10
3767,0.137972,202.15.13.87,172.28.229.40,HTTP,592,,,,,,,,,,10
3829,0.149756,172.28.178.186,42.156.48.26,TCP,74,44085.0,80.0,SYN,0.0,,5840.0,0.0,6561427.0,0.0,10
3830,0.149955,42.156.48.26,172.28.178.186,TCP,74,,,,0.0,1.0,5792.0,0.0,25591746.0,6561427.0,10
3832,0.150026,172.28.178.186,42.156.48.26,HTTP,95,,,,,,,,,,10
3844,0.151042,42.156.48.26,172.28.178.186,HTTP,1432,,,,,,,,,,10
4101,0.170696,111.28.252.238,172.28.153.211,TCP,74,,,,0.0,1.0,5792.0,0.0,25591748.0,6561430.0,8
4294,0.177746,111.28.252.238,172.28.153.211,HTTP,775,,,,,,,,,,8
4322,0.181191,172.28.138.160,132.30.95.185,TCP,74,60962.0,80.0,SYN,0.0,,5840.0,0.0,6561431.0,0.0,5
4323,0.18139,132.30.95.185,172.28.138.160,TCP,74,,,,0.0,1.0,5792.0,0.0,25591749.0,6561431.0,5
4325,0.181455,172.28.138.160,132.30.95.185,HTTP,94,,,,,,,,,,5
4327,0.181842,132.30.95.185,172.28.138.160,HTTP,601,,,,,,,,,,5
4367,0.188852,172.28.37.186,54.37.89.225,TCP,74,44419.0,80.0,SYN,0.0,,5840.0,0.0,6561431.0,0.0,5
4371,0.189119,172.28.37.186,54.37.89.225,HTTP,94,,,,,,,,,,5
